feature,mean_tfidf
yield,0.045360871764833124
farming,0.03670235063383551
pradesh,0.03082572085424811
days,0.030400910318115433
fruit,0.030219381775766253
rice,0.029289541257828865
varieties,0.028661190045601925
cultivation,0.025491689816978053
variety,0.023897104524817272
used,0.023843824902901087
income,0.02211313347615611
wheat,0.020548462698247557
millet,0.0204824472835488
fruits,0.020011288780568248
leaf,0.019976364283855644
plants,0.01834000659242468
irrigation,0.018269554602374588
leaves,0.01792470681368157
resistant,0.01773407893545067
fish,0.0177154727907077
indian farming,0.01762900481655698
disease,0.01745060699298835
conditions,0.017422168532007412
productivity,0.017341403124479595
application,0.01700827754393539
agenda,0.016963149821897876
cost,0.016844811126366283
control,0.016714336507811366
systems,0.01598190386714972
suitable,0.015746350633225062
low,0.015542097801663136
organic,0.015487465491644165
horticulture,0.015386516472870091
climate,0.015201679614284145
improved,0.015016705497568027
itk,0.014975764181438134
seeds,0.014947148010565807
practices,0.01486887121128034
using,0.014828306755319685
singh,0.01481633958907556
table,0.014747002067040724
species,0.014733300592626893
average,0.014678278156652378
grain,0.01447488170485816
increase,0.01430698617782666
maize,0.01425682368669914
unit,0.014190051299601977
green,0.01416830340205748
universities,0.01402578172498898
season,0.013936418906309365
sustainable,0.013421948471010628
extension,0.01341246168084721
fisheries,0.013327987865187458
small,0.013207224420317387
kvks,0.013145978646317641
treatment,0.01310496524533447
maturity,0.01310423222697496
sowing,0.013081360888334025
potential,0.012984811147106028
women,0.012882573047563616
millets,0.012881433191446605
rainfed,0.012869506732246312
students,0.012834990883955831
annual,0.012780167480433301
international,0.012712721344696934
potato,0.01269808082120432
content,0.012694268070928468
planting,0.012628042004782743
day,0.012552261271203288
kharif,0.012493711422515581
report,0.01227142779449872
committee,0.012258161274099951
kumar,0.01223141745429532
rural,0.012171982612945909
diseases,0.012162866261286152
programmes,0.012141366272693611
agro,0.012125495350063608
net,0.01211118185213042
action,0.01209439950983309
fodder,0.012058998348532614
livestock,0.012056201439781304
vegetable,0.012003453905998543
institutes,0.011988716365319311
pest,0.011976085914314837
weight,0.01197008423359039
programme,0.011908601608048904
recommended,0.011805565785016918
uttar,0.011798480530736408
economic,0.011754520853914116
cropping,0.011739516336698584
animals,0.01173055770098418
milk,0.011712367656862982
raey,0.01160656756068354
vegetables,0.011602665809710755
dare,0.011597673289797153
oil,0.011525720980470716
district,0.011506870164359237
tonnes,0.011505209359367202
farmer,0.011457501553940534
processing,0.011452444788318366
increased,0.011377449183479507
early,0.01126792079449741
pusa,0.011208941995420604
hybrid,0.011184793513155522
sector,0.01117768561830413
growing,0.01114123808644825
scientist,0.011137548673743987
mango,0.011082774302077627
market,0.010978876877701087
shri,0.010974531059534581
poultry,0.010954522210681729
protein,0.010915033490963186
data,0.010880645695925246
uttar pradesh,0.010878040371515633
research institute,0.010843145412229267
gujarat,0.010736778866305457
harvest,0.010675317406484338
temperature,0.010609800806229492
maturity days,0.010588435536827354
states,0.010547485289502627
maharashtra,0.010534455114326935
agricultural education,0.010510330208170642
adg,0.010496318841250556
compared,0.010417114963666771
dry,0.010404778683309013
kvk,0.010396714493484178
zone,0.010338673242830495
mail,0.010300697058561169
harvesting,0.010230012550137812
nutrient,0.010201146320301802
faculty,0.01013629404817424
grant,0.01013415789999687
latot,0.010123591364624904
sorghum,0.010116511428382394
sciences,0.010115433714095292
storage,0.010109711635762594
breeding,0.010074933773387652
farming january,0.010010409262645169
feed,0.009982036714869857
achievements,0.009959564767594051
integrated,0.00989602396471816
better,0.009856351800628486
veterinary,0.009839209593118256
conservation,0.0098317211229215
karnataka,0.009831429229733032
grown,0.00982786488183269
irrigated,0.009780746055248098
vice,0.009768901924489735
pests,0.009724774859385565
scientists,0.009720933592548178
date,0.009720286095461772
local,0.009712388692806401
method,0.009705277427608069
resistance,0.009694590039200892
tree,0.009613733483944266
policy,0.009561895287422274
address,0.009524637222595703
security,0.009519167661201157
significant,0.009517722579039106
com,0.009515364154971844
success,0.009479318113426855
genetic,0.009468196296367241
vcs,0.009436144858413638
soils,0.00943089895483762
paddy,0.009399587668537528
ppm,0.009366149705180257
plan,0.00936146922074356
moisture,0.009342922951243279
world,0.009306212353619782
tomato,0.009280406948795788
business,0.009269399174212323
colour,0.009216719750214623
rajasthan,0.009212135773993166
tolerant,0.00920212577604509
root,0.009195275194876656
tamil,0.009188566655016328
annual report,0.009184149114564742
population,0.009171171396670447
aus,0.009162938592518908
january,0.009142331141365761
punjab,0.009103310441891806
work,0.009097234257717293
dare icar,0.009069795517547257
impact,0.009051378250030342
shall,0.008953038759553267
cotton,0.00890508347595142
source,0.008893210025669944
iari,0.008885834351220798
rabi,0.008884264480146719
sugarcane,0.008878202102477133
aicrp,0.008855473829179294
size,0.008853722266735304
traditional,0.008852478442388585
stress,0.008818492275341568
required,0.008806386347056584
building,0.008768728984375892
million,0.008756188843508147
nadu,0.008746561260188038
efficiency,0.0087295534469132
keywords,0.008726571356386834
global,0.008628738916765594
gmail,0.008619898019793239
vaccine,0.00859636755054826
nutritional,0.008578088801810858
drought,0.008576683827614782
medium,0.00856826818531048
large,0.008564301555334927
gmail com,0.00855738632767746
fertilizer,0.008549799658023712
lakh,0.00850777265326376
red,0.008499875446886332
moderately,0.008499261322520765
improvement,0.008488484486962048
type,0.008482137507225573
acid,0.00848114915312947
chancellor,0.008474293553390935
long,0.008473642428889564
identified,0.00842658737742622
cattle,0.008407823413235933
produce,0.008404813050719943
analysis,0.008400658904706064
weed,0.008391240950251861
respectively,0.00839076674600655
blight,0.00836229169138597
tamil nadu,0.008341345776780577
saus,0.008311147803000747
banana,0.008299195641036884
page icar,0.008291735699442424
financial,0.008275127078631535
cid,0.008274655164224117
vice chancellor,0.00825953013082285
stage,0.008254012541727787
stem,0.008227700755906406
west,0.008214863170739444
insect,0.008145327167500745
availability,0.008097694075410878
rate,0.008094070947898916
agri,0.008090207956410208
pulses,0.008088001338348983
organized,0.00808328147540983
months,0.008077756884390098
results,0.008077047920146149
followed,0.00807473197137844
icar annual,0.008046195348029226
dairy,0.008018662852146682
hybrids,0.007989593183216195
secretary,0.00798317180623293
spray,0.007979871012217504
horticultural,0.007976719973993861
life,0.007973101919726154
june,0.007956308503655357
assessment,0.007947725945400497
scientific,0.00794457126587248
week,0.00790557762012591
hyderabad,0.007901768087560265
services,0.007899393959142726
flowering,0.007879959599136791
north,0.007857883228988024
agricultural university,0.007853508148320984
indian horticulture,0.007850549766117043
march,0.007840531838761265
rich,0.007828399555226875
ministry,0.007821940629879346
regions,0.007812106844426503
applied,0.007793816492517384
odisha,0.007779151609442987
tthhee,0.007775598982916259
iii,0.007736949009849847
mustard,0.007736760809829094
society,0.0077255866028315195
role,0.007715731356452593
bank,0.0077129232688007395
onion,0.00770782087413257
group,0.007706584121001979
madhya,0.007704484433663922
blast,0.007698952225417454
staff,0.007698938408463829
village,0.007696811044872849
gene,0.007685537681032615
bio,0.007682519691316193
andhra,0.007646881159140768
learning,0.007646731659813527
public,0.007601127463180572
haryana,0.007583593703058647
demand,0.0075828042347746705
author,0.00758133449352455
scale,0.007580405241019531
black,0.007574844450582938
summer,0.007567589320271004
human,0.007567538594792362
reduce,0.0075294533897279055
commercial,0.007529033787336722
price,0.007502366876537842
moderately resistant,0.007490059440658248
material,0.0074764292895061184
help,0.007460583623798698
rot,0.007457023124354017
needs,0.007432641618242232
establishment,0.0074271349331472
established,0.007417813303467451
member,0.007415108634739627
flowers,0.007394694452606023
zinc,0.007387832239158476
october,0.007382083719443929
released,0.007366465635050329
chickpea,0.007360452006119221
virus,0.007359019887360513
product,0.0073411052825474105
issues,0.007317608461320102
line,0.007308018019288536
ratio,0.007275406505761207
fresh,0.007269613235740599
culture,0.007260874071095822
implementation,0.007247539560338387
centres,0.007212981293824845
guidelines,0.007211619028302723
produced,0.007205588799221192
november,0.007170853366691175
conducted,0.007159372877889945
chemical,0.007158412721777777
body,0.007155732025355007
yield maturity,0.007142503688048359
capacity building,0.007142227311765343
madhya pradesh,0.0071294032582877405
andhra pradesh,0.007128640447530037
germplasm,0.007118411841794847
making,0.007101196199908035
yielding,0.007097819355623877
environment,0.007094350758578105
meeting,0.00708685468997502
showed,0.007075325164134782
fertilizers,0.007060856529790992
